depth_mm;DB_1C_perc;DB_1D_perc;NO_2C_perc;NO_2D_perc;NO_2E_perc;DB_4C_perc;DB_4D_perc;NO_6C_perc;NO_6D_perc;NO_6E_perc;DB_8C_perc;DB_9D_perc
10;0.929304029;0.860544218;0.513127413;0.964925373;0.552208835;0.880833333;0.749270073;0.549180328;0.846086957;0.013333333;0.864615385;0.773669468
20;0.923076923;0.942176871;0.644401544;0.970522388;0.53253012;0.83625;0.799270073;0.676229508;0.970434783;0.040833333;0.854615385;0.710364146
30;0.817582418;0.928571429;0.761389961;0.941044776;0.559036145;0.809583333;0.701824818;0.716393443;0.932173913;0.103333333;0.795384615;0.733893557
40;0.875091575;0.870068027;0.82972973;0.872761194;0.627710843;0.74125;0.589051095;0.723360656;0.947826087;0.149166667;0.825;0.745658263
50;0.826739927;0.873129252;0.844015444;0.880223881;0.681526104;0.677083333;0.476277372;0.774590164;0.906521739;0.282916667;0.690769231;0.742577031
60;0.646520147;0.902721088;0.858687259;0.898134328;0.675502008;0.702916667;0.500729927;0.790983607;0.891304348;0.47625;0.559230769;0.724089636
70;0.53003663;0.883673469;0.876061776;0.867537313;0.608032129;0.8;0.506934307;0.826639344;0.83173913;0.45625;0.442692308;0.736134454
80;0.393406593;0.898979592;0.963320463;0.818656716;0.552208835;0.86;0.610948905;0.807377049;0.816086957;0.434166667;0.236923077;0.722969188
90;0.527472527;0.780952381;0.98996139;0.694029851;0.580321285;0.79625;0.526642336;0.708606557;0.844347826;0.519583333;0.344615385;0.72464986
100;0.442124542;0.64829932;0.890733591;0.835447761;0.46626506;0.678333333;0.438321168;0.618442623;0.865652174;0.390833333;0.295769231;0.728851541
110;0.426373626;0.476190476;0.816216216;0.789925373;0.455421687;0.62;0.298905109;0.611885246;0.733913043;0.37875;0.253076923;0.709243697
120;0.303296703;0.497619048;0.598069498;0.756716418;0.391566265;0.657083333;0.226277372;0.518032787;0.713913043;0.372916667;0.27;0.653781513
130;0.134798535;0.604081633;0.547490347;0.682835821;0.273092369;0.754166667;0.305474453;0.579918033;0.65;0.32375;0.221538462;0.649579832
140;0.088278388;0.60952381;0.488030888;0.570522388;0.370281124;0.620833333;0.190145985;0.569262295;0.515652174;0.280833333;0.213461538;0.69859944
150;0.014285714;0.770408163;0.332432432;0.244029851;0.363855422;0.430833333;0.065693431;0.589754098;0.323913043;0.25875;0.136153846;0.694397759
160;0.012087912;0.73707483;0.293822394;0.070149254;0.163855422;0.399583333;0.124452555;0.573360656;0.296521739;0.304583333;0.153846154;0.677310924
170;0.03003663;0.717006803;0.392664093;0.057462687;0.103212851;0.434583333;0.123722628;0.377459016;0.283043478;0.25625;0.175384615;0.685994398
180;0.030769231;0.702721088;0.225096525;0.01119403;0.04497992;0.381666667;0.111678832;0.248770492;0.14;0.2675;0.122692308;0.640896359
190;0.068864469;0.781292517;0.173745174;0.020149254;0.054618474;0.274583333;0.091605839;0.14795082;0.07826087;0.219583333;0.166538462;0.667507003
200;0.105128205;0.894897959;0.191505792;0;0.146184739;0.274583333;0.130291971;0.152459016;0.062608696;0.277916667;0.161538462;0.6767507
210;0.083516484;0.856122449;0.277220077;0;0.161044177;0.260833333;0.117153285;0.094672131;0.102608696;0.3225;0.2;0.643977591
220;0.03040293;0.757823129;0.292664093;0.006343284;0.11124498;0.169583333;0.061678832;0.051229508;0.123913043;0.349166667;0.211923077;0.59719888
