;depth_mm;DB_1C_0-20mm;DB_1C_20-200mm;DB_1C_200-1000mm;DB_1D_0-20mm;DB_1D_200-1000mm;DB_1D_200-1000mm;DB_4C_0-20mm;DB_4C_200-1000mm;DB_4C_200-1000mm;DB_4D_0-20mm;DB_4D_200-1000mm;DB_4D_200-1000mm;DB_8C_0-20mm;DB_8C_200-1000mm;DB_8C_200-1000mm;DB_9D_0-20mm;DB_9D_200-1000mm;DB_9D_200-1000mm;NO_2C_0-20mm;NO_2C_200-1000mm;NO_2C_200-1000mm;NO_2D_0-20mm;NO_2D_200-1000mm;NO_2D_200-1000mm;NO_2E_0-20mm;NO_2E_200-1000mm;NO_2E_200-1000mm;NO_6C_0-20mm;NO_6C_200-1000mm;NO_6C_200-1000mm;NO_6D_0-20mm;NO_6D_200-1000mm;NO_6D_200-1000mm;NO_6E_0-20mm;NO_6E_200-1000mm;NO_6E_200-1000mm
10;10;2.7;1.6;0.5;3.3;3.2;0;8.4;3.8;0;6.9;3;0;6.9;2.1;0.1;27.1;3.3;0;9.5;1.9;0;1.1;0.3;1;12.9;1.5;0;17.1;1.2;0;2.9;2.9;0;1.9;0;0
20;20;4.1;3;0;2.6;3.4;0.1;12;3.2;0;6.6;2.9;0;8;3.2;0;26.7;2.7;0;6.2;2.7;0;0.8;0.1;1;13;1.1;0;12.7;2.4;0;0.9;2.3;0;5;0;0
30;30;6.9;2.5;0;3.2;2.7;0.2;9.2;2.5;0;10.7;3;0;10.1;2.9;0;19.3;3.9;0;6.8;2.6;0;0.8;1.6;0.2;15.6;1.2;0;12.6;2.8;0;1.7;2.7;0;6.6;0;0
40;40;6.5;3.2;0;6.6;3.4;0;8.6;2.8;0;13.8;2.3;0;8;2.6;0;18.5;4.1;0;4;3.1;0;1.3;2.2;0;14.8;1.9;0;14.6;2.3;0;1.3;3.2;0;10.2;0.1;0
50;50;4.7;4.1;0;7;4.6;0;11.7;2.2;0;12.9;1.8;0;9.6;3.7;0;15.2;4.6;0;6.5;3.6;0;1.2;3.3;0;14.8;1.7;0;8.6;3.8;0;2.3;2.6;0;12.3;0.4;0
60;60;8.2;3.7;0;6;3.8;0;10.1;2;0;14;1.8;0;14;2.3;0;15.2;4.4;0;3.5;3.1;0;2.1;4;0;11.2;2;0;6.9;4;0;1.9;4;0;12.2;1.8;0
70;70;9.7;2.8;0;5.4;4.4;0;9.4;2.4;0;12.2;2.2;0;16.9;1.1;0;16.1;4.2;0;5.7;2.8;0;3.8;3.7;0;10.2;2;0;7.1;3.8;0;3.2;2.4;0;12.7;1.5;0
80;80;11.1;1;0;3.2;3.2;0;5.7;2.7;0;11;1.9;0;12.9;0.6;0;17.3;4.3;0;0.9;1.2;0.7;4.1;3;0;9.4;2;0;7.5;3.8;0;2.4;3;0;15;1;0
90;90;17.2;1.2;0;4;3;0;9;3.2;0;16;1.4;0;13;0.8;0;17.7;3.9;0;0.4;0.6;0.9;7.6;2.2;0;11.5;1.8;0;11.2;2.4;0;3.2;2.3;0;14.4;1.3;0
100;100;11.6;1.2;0;8.2;2.8;0;12.2;2.5;0;17.4;1.1;0;12.7;0.5;0;20.5;3.7;0;3.9;3.1;0;5.5;2.5;0;10.2;0.7;0;11.2;1.8;0;3.2;2.9;0;13.5;1;0
110;110;10.4;1.8;0;10.7;2.1;0;12;2.1;0;12.2;1;0;9.5;0.4;0;26.7;2.9;0;6.5;3.6;0;6.2;3.1;0;13.1;0.9;0;12.7;1.9;0;8.4;1.9;0;13.3;1;0
120;120;12.3;0.3;0;8.5;1.5;0;10.7;2.4;0;8;0.6;0;12;0.4;0;29.2;2.9;0;7.8;3.1;0;6.9;2.6;0;11;1.1;0;11.4;1.3;0;7.3;2.4;0;13.4;0.7;0
130;130;7.7;0.1;0;8.4;2;0;5.9;3.2;0;9.2;0.9;0;10.9;0;0;33.5;2.3;0;5.9;3;0;6.6;2.8;0;9.1;0.6;0;11.4;2.3;0;9.6;1.5;0;10.1;1.1;0
