ID;mesocosm;treatment;time_step;INF
1;1A;control;prior;102.7719679
2;1A;control;day_1;135.8009648
3;1A;control;day_5;59.26761267
4;1A;control;day_10;58.74794884
5;1B;dung_only;prior;94.88748029
6;1B;dung_only;day_1;81.3480344
7;1B;dung_only;day_5;66.58349552
8;1B;dung_only;day_10;202.2439838
9;1C;dung_beetles;prior;47.95808102
10;1C;dung_beetles;day_1;134.2471685
11;1D;dung_beetles;prior;38.53201496
12;1D;dung_beetles;day_5;40.77904388
13;1E;dung_beetles;prior;319.0209385
14;3E;dung_beetles;prior;19.65574638
15;3E;dung_beetles;day_10;492.5019532
16;4A;dung_only;prior;9.021714254
17;4A;dung_only;day_1;4.965258806
18;4A;dung_only;day_5;15.9395994
19;4A;dung_only;day_10;8.788211062
20;4C;dung_beetles;prior;42.01971712
21;4C;dung_beetles;day_1;247.0231284
22;4D;dung_beetles;prior;30.74655629
23;4D;dung_beetles;day_5;76.37826806
24;4E;dung_beetles;prior;13.40100471
25;5A;control;prior;55.20670492
26;5A;control;day_1;109.9083727
27;5A;control;day_5;99.01727083
28;5A;control;day_10;45.33600944
29;5B;dung_only;prior;35.55244974
30;5B;dung_only;day_1;18.35680149
31;5B;dung_only;day_5;29.2184881
32;5B;dung_only;day_10;39.29094489
33;5C;dung_beetles;prior;28.58881006
34;5C;dung_beetles;day_1;150.1716789
35;5D;dung_beetles;prior;28.8074807
36;5D;dung_beetles;day_5;79.76075568
37;7A;control;prior;67.9550061
38;7A;control;day_1;49.39498575
39;7A;control;day_5;51.89786133
40;7A;control;day_10;32.10540598
41;7C;dung_beetles;prior;173.5124526
42;7C;dung_beetles;day_1;141.8601666
43;7D;dung_beetles;prior;212.7548719
44;7D;dung_beetles;day_5;325.7349509
45;7E;dung_beetles;prior;19.40743797
46;7E;dung_beetles;day_10;558.6651262
47;8A;dung_only;prior;316.6168876
48;8A;dung_only;day_5;70.4715038
49;8A;dung_only;day_10;139.7232328
50;8B;dung_beetles;prior;93.22141783
51;8C;dung_beetles;prior;176.7406891
52;8D;dung_beetles;prior;22.81280259
53;8D;dung_beetles;day_5;100.1065942
54;8E;dung_beetles;prior;15.76729911
55;8E;dung_beetles;day_10;312.0791395
56;9A;control;prior;61.1250651
57;9A;control;day_1;203.6261052
58;9A;control;day_5;110.5109312
59;9A;control;day_10;164.805301
60;9C;dung_beetles;prior;160.0322385
61;9C;dung_beetles;day_1;144.5579347
62;9D;dung_beetles;prior;234.8546579
63;9D;dung_beetles;day_5;258.2215102
64;9E;dung_beetles;prior;64.55537755
65;9E;dung_beetles;day_10;592.8555081
